parameter_id,label,category,calibration_status,calibrated_baseline,original_baseline,plausible_low,plausible_high,unit,type,calibration_source,calibration_note,description,original_source_notes
N_FIRMS,Number of Firms,Model Setup,structural,50,50,20,500,firms,integer,Model design choice,"Agent count is a computational/granularity choice, not an empirical quantity. Not calibratable to any real statistic.",Total number of firm agents in the simulation.,"Stylized. Adjust based on computational resources, desired model granularity, and to represent market concentration. Micro-ABMs may use more."
N_CITIZENS,Number of Citizens,Model Setup,structural,100,100,50,1000,citizens,integer,Model design choice,Agent count; scale parameter. Ratio to N_FIRMS (2:1) is a modelling convention.,Total number of citizen agents in the simulation.,Stylized. Often a multiple of N_FIRMS or scaled to represent population segments. Affects labor supply and aggregate demand detail.
FIRM_INITIAL_CAPITAL_MEAN,Firm Initial Capital (Mean),Firm Behavior - Initialization,structural,7000,7000,2000,50000,currency units,float,Abstract model units,Initial capital is in abstract units tuned jointly with FIRM_TFP_SCALAR and INITIAL_FIRM_PRICE to balance the initial economy; not a standalone empirical value.,Mean of the distribution for initial capital stock of firms.,Stylized. Calibrate to match desired initial firm sizes or capital-output ratios from national accounts for a specific sector/economy.
FIRM_INITIAL_CAPITAL_STD_DEV,Firm Initial Capital (Std Dev Factor),Firm Behavior - Initialization,structural,0.2,0.2,0.1,0.6,factor (proportion of mean),percentage_0_1,Heterogeneity parameter,Dispersion knob for firm-size heterogeneity.,Standard deviation factor for initial capital stock of firms (as proportion of mean).,Stylized. E.g. 0.2 means std dev is 20% of mean. Higher values imply more diverse firm sizes.
FIRM_INITIAL_INNOVATION_CAPACITY_MEAN,Firm Initial Innovation Capacity (Mean),Firm Behavior - Initialization,structural,25,25,5,100,units,float,Abstract model units,Abstract R&D-stock proxy; relative values only.,Mean of the distribution for initial innovation capacity of firms.,"Stylized, abstract unit. Relative values matter. Represents initial R&D stock or absorptive capacity. Could be calibrated based on firm R&D intensity data."
FIRM_INITIAL_INNOVATION_CAPACITY_STD_DEV,Firm Initial Innovation Capacity (Std Dev Factor),Firm Behavior - Initialization,structural,0.2,0.2,0.1,0.6,factor (proportion of mean),percentage_0_1,Heterogeneity parameter,Dispersion knob.,Standard deviation factor for initial innovation capacity (as proportion of mean).,Stylized. Determines heterogeneity in initial innovation capabilities.
FIRM_INITIAL_BASE_PRODUCTIVITY_MEAN,Firm Initial Labor Productivity (Mean),Firm Behavior - Initialization,structural,18,18,5,25,output units per effective labor unit,float,Abstract model units,Labour-efficiency scalar tuned with price level; not directly empirical.,Mean for initial labor productivity of firms (output units per effective labor unit). This directly influences labor demand for a given production level. It is NOT a direct TFP scalar in the production function.,Stylized. Represents initial labor efficiency. Higher values mean less labor needed per unit of output. Calibrate against sectoral labor productivity data.
FIRM_INITIAL_BASE_PRODUCTIVITY_STD_DEV,Firm Initial Labor Productivity (Std Dev Factor),Firm Behavior - Initialization,structural,0.2,0.2,0.1,0.5,factor (proportion of mean),percentage_0_1,Heterogeneity parameter,Dispersion knob.,Standard deviation factor for initial labor productivity (as proportion of mean).,Stylized. Determines heterogeneity in initial labor efficiencies.
FIRM_INITIAL_GREEN_TECH_SHARE_MEAN,Firm Initial Green Tech Share (Mean),Firm Behavior - Initialization,empirical,0.05,0.05,0.01,0.2,share (0-1),percentage_0_1,"ACEA 2025: BEV = 17.4% of NEW EU car registrations, but BEV stock-share of fleet ~3-5%","Stock-based initial green-tech share. EU BEV share of the on-road fleet (the right stock concept) is ~3-5%, not the 17% new-registration flow. Baseline 0.05 is well-anchored.",Mean share of green technology firms start with (0 to 1).,Stylized initial green tech adoption. Could be based on current market penetration data for specific green technologies.
FIRM_INITIAL_GREEN_TECH_SHARE_STD_DEV,Firm Initial Green Tech Share (Std Dev),Firm Behavior - Initialization,structural,0.02,0.02,0.01,0.1,share (0-1),percentage_0_1,Heterogeneity parameter,Dispersion of initial green share across firms.,"Standard deviation for initial green tech share. Actual share will be mean +/- random * std_dev, clamped to [0,1].",Determines heterogeneity in initial green tech adoption. Lower values mean more uniform starting points.
